uniq,taxonomy,kingdom,phylum
uniq2898,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2927,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq5375,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq5960,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2967,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2994,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq2997,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3004,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3018,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3001,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3019,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3034,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3046,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3533,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3591,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq5044,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq7470,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq7271,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3084,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3088,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3122,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3108,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3099,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3147,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3163,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3173,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3967,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3191,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3757,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq6102,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3204,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq11889,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3213,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3217,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3222,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3231,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3241,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3250,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3260,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3291,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3319,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq4145,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq4405,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq4134,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq5023,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq3323,k:Eukaryota_2759,Eukaryota,Eukaryota
uniq6319,k:Eukaryota_2759,Eukaryota,Eukaryota
