uniq,phylum,class,order,family,genus,species
uniq1568,Chordata,Actinopteri,Actinopteri,Labriformes,Halichoeres,Halichoeres
uniq15695,Echinodermata,Echinoidea,Echinoidea,Temnopleuroida,Tripneustes,Tripneustes gratilla
uniq157,Echinodermata,Echinoidea,Echinoidea,Temnopleuroida,Tripneustes,Tripneustes kermadecensis
uniq15708,Arthropoda,Insecta,Insecta,Lepidoptera,Agriades,Agriades
uniq1572,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq15735,Chordata,Actinopteri,Actinopteri,Labriformes,Halichoeres,Halichoeres
uniq15787,Arthropoda,Hexanauplia,Hexanauplia,Calanoida,Calocalanus,Calocalanus
uniq1579,Mollusca,Bivalvia,Bivalvia,Ostreida,Ostreida,Ostreida
uniq15790,Chaetognatha,Sagittoidea,Sagittoidea,Aphragmophora,Aphragmophora,Aphragmophora
uniq15792,Echinodermata,Echinoidea,Echinoidea,Diadematoida,Astropyga,Astropyga
uniq15803,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq15830,Chordata,Actinopteri,Actinopteri,Syngnathiformes,Syngnathiformes,Syngnathiformes
uniq15863,Chaetognatha,Sagittoidea,Sagittoidea,Aphragmophora,Aphragmophora,Aphragmophora
uniq15890,Arthropoda,Malacostraca,Malacostraca,Decapoda,Decapoda,Decapoda
uniq15891,Chaetognatha,Sagittoidea,Sagittoidea,Aphragmophora,Aphragmophora,Aphragmophora
uniq15918,Arthropoda,Hexanauplia,Hexanauplia,Cyclopoida,Cyclopoida,Cyclopoida
uniq15943,Annelida,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta
uniq15952,Mollusca,Gastropoda,Gastropoda,Littorinimorpha,Conomurex,Conomurex
uniq15965,Mollusca,Gastropoda,Gastropoda,Neogastropoda,Conus,Conus
uniq15985,Arthropoda,Hexanauplia,Hexanauplia,Calanoida,Candacia,Candacia
uniq15997,Annelida,Polychaeta,Polychaeta,Sabellida,Acromegalomma,Acromegalomma
