uniq,taxonomy
uniq12067,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Acartiidae_121147,g:Acartia_121148,s:Acartia"
uniq12497,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Acartiidae_121147,g:Acartia_121148,s:Acartia"
uniq16734,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Acartiidae_121147,g:Acartia_121148,s:Acartia"
uniq19729,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Acartiidae_121147,g:Acartia_121148,s:Acartia"
uniq145,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Calanidae_6835,g:Canthocalanus_545083,s:Canthocalanus"
uniq6619,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Calanidae_6835,g:Canthocalanus_545083,s:Canthocalanus"
uniq5076,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Calanidae_6835,g:Cosmocalanus_184742,s:Cosmocalanus"
uniq7054,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Calanidae_6835,g:Cosmocalanus_184742,s:Cosmocalanus"
uniq161,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Calanidae_6835,g:Undinula_184746,s:Undinula"
uniq2414,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Calanidae_6835,g:Undinula_184746,s:Undinula"
uniq8632,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Calanidae_6835,g:Undinula_184746,s:Undinula"
uniq12315,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Calanidae_6835,g:Undinula_184746,s:Undinula"
uniq13241,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Calanidae_6835,g:Undinula_184746,s:Undinula"
uniq17346,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Calanidae_6835,g:Undinula_184746,s:Undinula"
uniq17839,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Calanidae_6835,g:Undinula_184746,s:Undinula"
uniq20401,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Calanidae_6835,g:Undinula_184746,s:Undinula"
uniq21305,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Calanidae_6835,g:Undinula_184746,s:Undinula"
uniq23573,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Calanidae_6835,g:Undinula_184746,s:Undinula"
uniq1928,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Calocalanidae_749174,g:Calocalanus_749175,s:Calocalanus"
uniq6582,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Calocalanidae_749174,g:Calocalanus_749175,s:Calocalanus"
uniq7745,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Calocalanidae_749174,g:Calocalanus_749175,s:Calocalanus"
uniq17518,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Calocalanidae_749174,g:Calocalanus_749175,s:Calocalanus"
uniq18958,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Calocalanidae_749174,g:Calocalanus_749175,s:Calocalanus"
uniq26857,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Calocalanidae_749174,g:Calocalanus_749175,s:Calocalanus"
uniq27615,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Calocalanidae_749174,g:Calocalanus_749175,s:Calocalanus"
uniq5858,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Candaciidae_207962,g:Candacia_207966,s:Candacia"
uniq19271,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Candaciidae_207962,g:Candacia_207966,s:Candacia"
uniq18984,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Candaciidae_207962,g:Candacia_207966,s:Candacia"
uniq20750,"k:Eukaryota_2759,p:Arthropoda_6656,c:Hexanauplia_72037,o:Calanoida_6833,f:Candaciidae_207962,g:Candacia_207966,s:Candacia"
