otuID,phylum,class,order,family,genus,species
uniq12978,Mollusca,Bivalvia,Mytiloida,Mytilidae,Leiosolenus,Leiosolenus
uniq12981,Arthropoda,Malacostraca,Decapoda,Xanthidae,Etisus,Etisus
uniq1299,Chordata,Actinopteri,Labriformes,Labridae,Scarus,Scarus
uniq13,Chordata,Actinopteri,Spariformes,Nemipteridae,Scolopsis,Scolopsis
uniq13018,Arthropoda,Hexanauplia,Pygophora,Lithoglyptidae,Auritoglyptes,Auritoglyptes
uniq13025,Arthropoda,Hexanauplia,Harpacticoida,Miraciidae,Macrosetella,Macrosetella
uniq13028,Mollusca,Gastropoda,Aplysiida,Aplysiidae,Dolabrifera,Dolabrifera
uniq13060,Mollusca,Gastropoda,Pteropoda,Creseidae,Creseidae,Creseidae
uniq13078,Mollusca,Bivalvia,Cardiida,Tellinidae,Tellinella,Tellinella
uniq13090,Annelida,Polychaeta,Echiuroidea,Echiuridae,Ochetostoma,Ochetostoma
uniq13125,Mollusca,Gastropoda,Littorinimorpha,Strombidae,Ministrombus,Ministrombus
uniq13177,Mollusca,Gastropoda,Neogastropoda,Mitridae,Neocancilla,Neocancilla
uniq13180,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus
uniq13196,Mollusca,Gastropoda,Pteropoda,Creseidae,Creseidae,Creseidae
uniq13208,Arthropoda,Malacostraca,Decapoda,Decapoda,Decapoda,Caridea
uniq13227,Mollusca,Bivalvia,Ostreida,Ostreidae,Ostreidae,Ostreidae
uniq13237,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca
uniq13241,Arthropoda,Hexanauplia,Calanoida,Calanidae,Undinula,Undinula
uniq1326,Cnidaria,Hydrozoa,Siphonophorae,Sphaeronectidae,Sphaeronectes,Sphaeronectes
uniq1327,Cnidaria,Hydrozoa,Leptothecata,Clytiidae,Clytia,Clytia
uniq13271,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus
uniq1339,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Ferosagitta,Ferosagitta
uniq13390,Mollusca,Bivalvia,Ostreida,Ostreidae,Ostreidae,Ostreidae
uniq134,Cnidaria,Hydrozoa,Leptothecata,Laodiceidae,Laodicea,Laodicea
uniq13404,Cnidaria,Hydrozoa,Leptothecata,Clytiidae,Clytia,Clytia
uniq13445,Mollusca,Gastropoda,Pteropoda,Creseidae,Creseis,Creseis
uniq13458,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq13466,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagittidae,Sagittidae
uniq1348,Cnidaria,Anthozoa,Actiniaria,Boloceroididae,Boloceroides,Boloceroides
uniq1349,Arthropoda,Malacostraca,Decapoda,Decapoda,Decapoda,Decapoda
uniq13509,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq13519,Arthropoda,Malacostraca,Decapoda,Decapoda,Decapoda,Decapoda
uniq13525,Mollusca,Gastropoda,Pteropoda,Creseidae,Creseidae,Creseidae
uniq13537,Arthropoda,Malacostraca,Decapoda,Decapoda,Decapoda,Decapoda
uniq1354,Annelida,Polychaeta,Echiuroidea,Echiuridae,Anelassorhynchus,Anelassorhynchus
uniq13545,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus
uniq13573,Mollusca,Gastropoda,Cephalaspidea,Gastropteridae,Siphopteron,Siphopteron
uniq13583,Arthropoda,Insecta,Diptera,Culicidae,Psorophora,Psorophora
uniq13596,Cnidaria,Hydrozoa,Siphonophorae,Diphyidae,Lensia,Lensia
uniq1360,Arthropoda,Malacostraca,Decapoda,Decapoda,Decapoda,Caridea
uniq1361,Chordata,Actinopteri,Actinopteri,Actinopteri,Actinopteri,Actinopteri
uniq13639,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq1366,Arthropoda,Malacostraca,Decapoda,Portunidae,Thalamita,Thalamita
uniq1368,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda
uniq1369,Arthropoda,Hexanauplia,Calanoida,Pontellidae,Labidocera,Labidocera
uniq13772,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,Paracalanus
uniq13815,Arthropoda,Hexanauplia,Pygophora,Lithoglyptidae,Auritoglyptes,Auritoglyptes
uniq1382,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagittidae,Sagittidae
uniq1385,Chordata,Actinopteri,Spariformes,Nemipteridae,Nemipterus,Nemipterus
uniq13888,Sipuncula,Sipuncula,Phascolosomatiformes,Phascolosomatidae,Phascolosoma,Phascolosoma
uniq1391,Chordata,Actinopteri,Holocentriformes,Holocentridae,Myripristis,Myripristis
uniq13923,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,Paracalanus
